category_pair,category_a,category_b,basket_count
"BAKED BREAD/BUNS/ROLLS + FLUID MILK PRODUCTS","BAKED BREAD/BUNS/ROLLS","FLUID MILK PRODUCTS",31010
"FLUID MILK PRODUCTS + SOFT DRINKS","FLUID MILK PRODUCTS","SOFT DRINKS",25452
"CHEESE + FLUID MILK PRODUCTS",CHEESE,"FLUID MILK PRODUCTS",24584
"BAKED BREAD/BUNS/ROLLS + SOFT DRINKS","BAKED BREAD/BUNS/ROLLS","SOFT DRINKS",24519
"BAKED BREAD/BUNS/ROLLS + CHEESE","BAKED BREAD/BUNS/ROLLS",CHEESE,23937
"BAG SNACKS + SOFT DRINKS","BAG SNACKS","SOFT DRINKS",20573
"BAG SNACKS + BAKED BREAD/BUNS/ROLLS","BAG SNACKS","BAKED BREAD/BUNS/ROLLS",19643
"CHEESE + SOFT DRINKS",CHEESE,"SOFT DRINKS",18886
"BAKED BREAD/BUNS/ROLLS + BEEF","BAKED BREAD/BUNS/ROLLS",BEEF,18822
"BAG SNACKS + FLUID MILK PRODUCTS","BAG SNACKS","FLUID MILK PRODUCTS",18356
"FLUID MILK PRODUCTS + TROPICAL FRUIT","FLUID MILK PRODUCTS","TROPICAL FRUIT",17903
"BEEF + FLUID MILK PRODUCTS",BEEF,"FLUID MILK PRODUCTS",17839
"EGGS + FLUID MILK PRODUCTS",EGGS,"FLUID MILK PRODUCTS",17274
"COLD CEREAL + FLUID MILK PRODUCTS","COLD CEREAL","FLUID MILK PRODUCTS",16861
"BAG SNACKS + CHEESE","BAG SNACKS",CHEESE,16556
"BAKED BREAD/BUNS/ROLLS + TROPICAL FRUIT","BAKED BREAD/BUNS/ROLLS","TROPICAL FRUIT",16277
"BEEF + CHEESE",BEEF,CHEESE,15867
"BEEF + SOFT DRINKS",BEEF,"SOFT DRINKS",14971
"FLUID MILK PRODUCTS + REFRGRATD JUICES/DRNKS","FLUID MILK PRODUCTS","REFRGRATD JUICES/DRNKS",14768
"BAKED BREAD/BUNS/ROLLS + EGGS","BAKED BREAD/BUNS/ROLLS",EGGS,14650
