month_number,monthly_sales,basket_count,avg_basket_value,sales_change,sales_change_pct
1,55507.48,1897,29.26,,
2,120996.64,4306,28.1,65489.16,1.1798
3,214878.77,8016,26.81,93882.13,0.7759
4,317907.86,12013,26.46,103029.09,0.4795
5,341839.33,13007,26.28,23931.47,0.0753
6,358687.39,13017,27.56,16848.06,0.0493
7,347066.34,12245,28.34,-11621.05,-0.0324
8,341190.29,12322,27.69,-5876.05,-0.0169
9,373605.19,12574,29.71,32414.9,0.095
10,379657.89,12469,30.45,6052.7,0.0162
11,368616.24,12696,29.03,-11041.65,-0.0291
12,363495.65,12451,29.19,-5120.59,-0.0139
13,377018.24,12711,29.66,13522.59,0.0372
14,378234.24,12929,29.25,1216.0,0.0032
15,385440.77,13161,29.29,7206.53,0.0191
16,378372.31,13250,28.56,-7068.46,-0.0183
17,382154.62,13205,28.94,3782.31,0.01
18,367600.48,12659,29.04,-14554.14,-0.0381
19,362017.73,12654,28.61,-5582.75,-0.0152
20,383620.99,12884,29.77,21603.26,0.0597
21,390567.15,12639,30.9,6946.16,0.0181
22,400471.28,12585,31.82,9904.13,0.0254
23,396478.04,12420,31.92,-3993.24,-0.01
24,272038.16,8374,32.49,-124439.88,-0.3139
