category,basket_count,total_sales,sales_per_basket
"COUPON/MISC ITEMS",27705,639878.56,23.1
"SOFT DRINKS",71699,327647.3,4.57
BEEF,36733,312103.22,8.5
"FLUID MILK PRODUCTS",69278,205356.05,2.96
CHEESE,46898,189528.18,4.04
"FRZN MEAT/MEAT DINNERS",22777,160517.17,7.05
"BAG SNACKS",42037,148375.16,3.53
BEERS/ALES,15527,147344.45,9.49
"FROZEN PIZZA",23174,146037.25,6.3
"BAKED BREAD/BUNS/ROLLS",60311,145930.85,2.42
"COLD CEREAL",25166,111702.42,4.44
"DELI MEATS",17122,106539.94,6.22
CIGARETTES,10960,96387.83,8.79
CHICKEN,15070,94342.85,6.26
LUNCHMEAT,23733,93066.44,3.92
PORK,12386,90279.06,7.29
SOUP,23594,87799.94,3.72
"ICE CREAM/MILK/SHERBTS",20090,82426.6,4.1
"CANDY - PACKAGED",21586,75886.23,3.52
"CANNED JUICES",20208,74735.18,3.7
